Rok;Miesiąc;Język;Typ usługodawcy;Rodzaj współpracy;Typ klienta;Liczba zleceń;Przychód (PLN);;14320
2020;April;Włoski;Biuro tłumaczeń;Useme.com;JDG;10;5890;;
2020;April;Niderlandzki;Freelancer;Useme.com;MSP;15;7755;;
2020;April;Niderlandzki;Biuro tłumaczeń;Umowa o dzieło;Korporacja;5;2525;;
2020;April;Czeski;Freelancer;Umowa o dzieło;JDG;6;2496;;
2020;April;Czeski;Biuro tłumaczeń;Umowa o dzieło;JDG;13;7670;;
2020;May;Węgierski;Freelancer;Umowa o dzieło;JDG;13;9269;;
2020;May;Węgierski;Biuro tłumaczeń;Umowa o dzieło;Korporacja;6;3420;;
2020;May;Angielski;Freelancer;Useme.com;Korporacja;4;2700;;
2020;May;Angielski;Biuro tłumaczeń;Umowa o dzieło;Korporacja;13;10361;;
2020;May;Niemiecki;Freelancer;Umowa zlecenie;Korporacja;2;1418;;
2020;May;Niemiecki;Biuro tłumaczeń;Umowa zlecenie;MSP;8;4984;;
2020;May;Francuski;Freelancer;Umowa o dzieło;MSP;15;6930;;
2020;May;Francuski;Biuro tłumaczeń;Useme.com;JDG;5;3805;;
2020;May;Hiszpański;Freelancer;Umowa zlecenie;JDG;20;15520;;
2020;May;Hiszpański;Biuro tłumaczeń;Umowa zlecenie;MSP;12;9180;;
2020;May;Włoski;Freelancer;Umowa zlecenie;JDG;5;3030;;
2020;May;Włoski;Biuro tłumaczeń;Umowa zlecenie;MSP;17;7837;;
2020;May;Niderlandzki;Freelancer;Umowa zlecenie;Korporacja;18;9684;;
2020;May;Niderlandzki;Biuro tłumaczeń;Useme.com;MSP;11;7392;;
2020;May;Czeski;Freelancer;Useme.com;Korporacja;12;8304;;
2020;May;Czeski;Biuro tłumaczeń;Useme.com;MSP;3;1830;;
2020;June;Węgierski;Freelancer;Useme.com;JDG;11;8129;;
2020;June;Węgierski;Biuro tłumaczeń;Useme.com;MSP;20;14320;;
2020;June;Angielski;Freelancer;Useme.com;Korporacja;13;6513;;
2020;June;Angielski;Biuro tłumaczeń;Useme.com;MSP;9;6111;;
2020;June;Niemiecki;Freelancer;Useme.com;MSP;17;12869;;
2020;June;Niemiecki;Biuro tłumaczeń;Useme.com;JDG;10;5490;;
2020;June;Francuski;Freelancer;Umowa o dzieło;JDG;19;10697;;
2020;June;Francuski;Biuro tłumaczeń;Umowa zlecenie;MSP;20;14260;;
2020;June;Hiszpański;Freelancer;Umowa o dzieło;Korporacja;8;4560;;
2020;June;Hiszpański;Biuro tłumaczeń;Umowa zlecenie;JDG;7;2870;;
2020;June;Włoski;Freelancer;Umowa o dzieło;JDG;7;3829;;
2020;June;Włoski;Biuro tłumaczeń;Umowa zlecenie;MSP;6;3240;;
2020;June;Niderlandzki;Freelancer;Umowa o dzieło;Korporacja;17;10914;;
2020;June;Niderlandzki;Biuro tłumaczeń;Useme.com;MSP;6;3666;;
2020;June;Czeski;Freelancer;Umowa o dzieło;JDG;15;11295;;
2020;June;Czeski;Biuro tłumaczeń;Useme.com;Korporacja;7;3976;;
2020;July;Węgierski;Freelancer;Umowa zlecenie;JDG;1;791;;
2020;July;Węgierski;Biuro tłumaczeń;Umowa zlecenie;MSP;18;12546;;
2020;July;Angielski;Freelancer;Umowa o dzieło;MSP;19;9310;;
2020;July;Angielski;Biuro tłumaczeń;Umowa o dzieło;JDG;17;12920;;
2020;July;Niemiecki;Freelancer;Useme.com;MSP;1;654;;
2020;July;Niemiecki;Biuro tłumaczeń;Umowa o dzieło;MSP;7;5502;;
2020;July;Francuski;Freelancer;Useme.com;Korporacja;11;5368;;
2020;July;Francuski;Biuro tłumaczeń;Useme.com;Korporacja;6;3792;;
2020;July;Hiszpański;Freelancer;Umowa o dzieło;JDG;9;5724;;
2020;July;Hiszpański;Biuro tłumaczeń;Umowa o dzieło;Korporacja;2;1158;;
2020;July;Włoski;Freelancer;Umowa zlecenie;JDG;6;2922;;
2020;July;Włoski;Biuro tłumaczeń;Useme.com;Korporacja;13;5304;;
2020;July;Niderlandzki;Freelancer;Umowa zlecenie;JDG;5;2095;;
2020;July;Niderlandzki;Biuro tłumaczeń;Useme.com;MSP;10;6850;;
2020;July;Czeski;Freelancer;Useme.com;Korporacja;5;3930;;
2020;July;Czeski;Biuro tłumaczeń;Umowa zlecenie;MSP;5;2225;;
2020;August;Węgierski;Freelancer;Umowa o dzieło;MSP;4;1952;;
2020;August;Węgierski;Biuro tłumaczeń;Umowa o dzieło;JDG;3;1536;;
2020;August;Angielski;Freelancer;Umowa zlecenie;MSP;2;890;;
2020;August;Angielski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;20;9460;;
2020;August;Niemiecki;Freelancer;Umowa o dzieło;Korporacja;15;6150;;
2020;August;Niemiecki;Biuro tłumaczeń;Useme.com;JDG;5;2485;;
2020;August;Francuski;Freelancer;Umowa zlecenie;MSP;11;5060;;
2020;August;Francuski;Biuro tłumaczeń;Umowa o dzieło;MSP;10;4950;;
2020;August;Hiszpański;Freelancer;Useme.com;MSP;11;6138;;
2020;August;Hiszpański;Biuro tłumaczeń;Useme.com;MSP;3;1941;;
2020;August;Włoski;Freelancer;Useme.com;JDG;10;7530;;
2020;August;Włoski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;18;8244;;
2020;August;Niderlandzki;Freelancer;Useme.com;MSP;6;2640;;
2020;August;Niderlandzki;Biuro tłumaczeń;Umowa zlecenie;Korporacja;14;5796;;
2020;August;Czeski;Freelancer;Umowa o dzieło;Korporacja;17;9554;;
2020;August;Czeski;Biuro tłumaczeń;Umowa o dzieło;MSP;16;12096;;
2020;September;Węgierski;Freelancer;Useme.com;MSP;3;1650;;
2020;September;Węgierski;Biuro tłumaczeń;Umowa o dzieło;Korporacja;2;1056;;
2020;September;Angielski;Freelancer;Umowa zlecenie;JDG;13;9399;;
2020;September;Angielski;Biuro tłumaczeń;Umowa o dzieło;JDG;1;463;;
2020;September;Niemiecki;Freelancer;Useme.com;JDG;12;6060;;
2020;September;Niemiecki;Biuro tłumaczeń;Useme.com;JDG;5;2115;;
2020;September;Francuski;Freelancer;Umowa o dzieło;JDG;20;11340;;
2020;September;Francuski;Biuro tłumaczeń;Umowa o dzieło;MSP;15;11970;;
2020;September;Hiszpański;Freelancer;Useme.com;MSP;5;2235;;
2020;September;Hiszpański;Biuro tłumaczeń;Umowa o dzieło;Korporacja;12;8148;;
2020;September;Włoski;Freelancer;Umowa o dzieło;MSP;2;1050;;
2020;September;Włoski;Biuro tłumaczeń;Umowa o dzieło;Korporacja;19;11210;;
2020;September;Niderlandzki;Freelancer;Useme.com;Korporacja;6;3534;;
2020;September;Niderlandzki;Biuro tłumaczeń;Umowa o dzieło;MSP;20;15900;;
2020;September;Czeski;Freelancer;Umowa o dzieło;JDG;16;7280;;
2020;September;Czeski;Biuro tłumaczeń;Umowa zlecenie;MSP;17;7497;;
2020;October;Węgierski;Freelancer;Umowa o dzieło;JDG;1;718;;
2020;October;Węgierski;Biuro tłumaczeń;Umowa o dzieło;MSP;1;712;;
2020;October;Angielski;Freelancer;Umowa zlecenie;JDG;5;2255;;
2020;October;Angielski;Biuro tłumaczeń;Useme.com;MSP;5;3680;;
2020;October;Niemiecki;Freelancer;Useme.com;Korporacja;1;621;;
2020;October;Niemiecki;Biuro tłumaczeń;Useme.com;MSP;18;13446;;
2020;October;Francuski;Freelancer;Useme.com;Korporacja;2;1000;;
2020;October;Francuski;Biuro tłumaczeń;Useme.com;JDG;10;7880;;
2020;October;Hiszpański;Freelancer;Useme.com;Korporacja;8;4968;;
2020;October;Hiszpański;Biuro tłumaczeń;Useme.com;Korporacja;5;2410;;
2020;October;Włoski;Freelancer;Useme.com;Korporacja;15;6990;;
2020;October;Włoski;Biuro tłumaczeń;Useme.com;JDG;20;15640;;
2020;October;Niderlandzki;Freelancer;Umowa o dzieło;MSP;19;13110;;
2020;October;Niderlandzki;Biuro tłumaczeń;Umowa zlecenie;Korporacja;19;7619;;
2020;October;Czeski;Freelancer;Umowa zlecenie;Korporacja;9;6282;;
2020;October;Czeski;Biuro tłumaczeń;Umowa o dzieło;Korporacja;12;6660;;
2020;November;Węgierski;Freelancer;Umowa zlecenie;JDG;12;7524;;
2020;November;Węgierski;Biuro tłumaczeń;Umowa zlecenie;JDG;15;11595;;
2020;November;Angielski;Freelancer;Umowa o dzieło;Korporacja;18;7578;;
2020;November;Angielski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;20;8880;;
2020;November;Niemiecki;Freelancer;Umowa o dzieło;Korporacja;2;994;;
2020;November;Niemiecki;Biuro tłumaczeń;Umowa zlecenie;Korporacja;13;8151;;
2020;November;Francuski;Freelancer;Umowa zlecenie;Korporacja;16;6976;;
2020;November;Francuski;Biuro tłumaczeń;Umowa zlecenie;JDG;5;2460;;
2020;November;Hiszpański;Freelancer;Useme.com;Korporacja;13;6877;;
2020;November;Hiszpański;Biuro tłumaczeń;Useme.com;JDG;1;463;;
2020;November;Włoski;Freelancer;Umowa o dzieło;Korporacja;18;8280;;
2020;November;Włoski;Biuro tłumaczeń;Umowa zlecenie;JDG;1;745;;
2020;November;Niderlandzki;Freelancer;Useme.com;Korporacja;9;6516;;
2020;November;Niderlandzki;Biuro tłumaczeń;Umowa o dzieło;Korporacja;8;3816;;
2020;November;Czeski;Freelancer;Useme.com;Korporacja;2;1206;;
2020;November;Czeski;Biuro tłumaczeń;Umowa o dzieło;MSP;18;9054;;
2020;December;Węgierski;Freelancer;Umowa o dzieło;MSP;4;2196;;
2020;December;Węgierski;Biuro tłumaczeń;Umowa o dzieło;Korporacja;1;692;;
2020;December;Angielski;Freelancer;Umowa o dzieło;JDG;2;938;;
2020;December;Angielski;Biuro tłumaczeń;Umowa o dzieło;MSP;18;9738;;
2020;December;Niemiecki;Freelancer;Umowa zlecenie;MSP;19;13661;;
2020;December;Niemiecki;Biuro tłumaczeń;Umowa o dzieło;JDG;10;7790;;
2020;December;Francuski;Freelancer;Umowa zlecenie;Korporacja;19;8626;;
2020;December;Francuski;Biuro tłumaczeń;Umowa o dzieło;JDG;17;10455;;
2020;December;Hiszpański;Freelancer;Umowa o dzieło;Korporacja;1;430;;
2020;December;Hiszpański;Biuro tłumaczeń;Umowa zlecenie;MSP;15;11430;;
2020;December;Włoski;Freelancer;Umowa zlecenie;Korporacja;2;1388;;
2020;December;Włoski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;6;4668;;
2020;December;Niderlandzki;Freelancer;Umowa zlecenie;Korporacja;8;4472;;
2020;December;Niderlandzki;Biuro tłumaczeń;Useme.com;JDG;20;13160;;
2020;December;Czeski;Freelancer;Umowa zlecenie;Korporacja;3;1656;;
2020;December;Czeski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;3;1251;;
2021;January;Węgierski;Freelancer;Useme.com;MSP;18;13482;;
2021;January;Węgierski;Biuro tłumaczeń;Umowa o dzieło;MSP;3;1335;;
2021;January;Angielski;Freelancer;Umowa zlecenie;JDG;3;1344;;
2021;January;Angielski;Biuro tłumaczeń;Umowa o dzieło;JDG;19;14687;;
2021;January;Niemiecki;Freelancer;Umowa o dzieło;Korporacja;16;11392;;
2021;January;Niemiecki;Biuro tłumaczeń;Umowa zlecenie;MSP;4;3096;;
2021;January;Francuski;Freelancer;Umowa o dzieło;JDG;13;8021;;
2021;January;Francuski;Biuro tłumaczeń;Umowa zlecenie;JDG;13;6903;;
2021;January;Hiszpański;Freelancer;Umowa o dzieło;Korporacja;14;9408;;
2021;January;Hiszpański;Biuro tłumaczeń;Umowa zlecenie;Korporacja;12;6780;;
2021;January;Włoski;Freelancer;Umowa o dzieło;Korporacja;5;3960;;
2021;January;Włoski;Biuro tłumaczeń;Umowa zlecenie;JDG;16;6608;;
2021;January;Niderlandzki;Freelancer;Useme.com;JDG;7;3157;;
2021;January;Niderlandzki;Biuro tłumaczeń;Umowa zlecenie;Korporacja;13;9945;;
2021;January;Czeski;Freelancer;Useme.com;JDG;15;7065;;
2021;January;Czeski;Biuro tłumaczeń;Useme.com;JDG;15;7680;;
2021;February;Węgierski;Freelancer;Useme.com;JDG;13;9373;;
2021;February;Węgierski;Biuro tłumaczeń;Umowa zlecenie;MSP;13;9451;;
2021;February;Angielski;Freelancer;Umowa o dzieło;MSP;5;3160;;
2021;February;Angielski;Biuro tłumaczeń;Umowa o dzieło;JDG;10;5220;;
2021;February;Niemiecki;Freelancer;Umowa zlecenie;JDG;17;9095;;
2021;February;Niemiecki;Biuro tłumaczeń;Umowa zlecenie;MSP;11;4862;;
2021;February;Francuski;Freelancer;Umowa zlecenie;MSP;8;5968;;
2021;February;Francuski;Biuro tłumaczeń;Umowa o dzieło;MSP;10;4310;;
2021;February;Hiszpański;Freelancer;Umowa zlecenie;MSP;13;8515;;
2021;February;Hiszpański;Biuro tłumaczeń;Useme.com;Korporacja;17;13362;;
2021;February;Włoski;Freelancer;Umowa o dzieło;Korporacja;5;3195;;
2021;February;Włoski;Biuro tłumaczeń;Umowa zlecenie;JDG;19;14991;;
2021;February;Niderlandzki;Freelancer;Umowa o dzieło;Korporacja;1;791;;
2021;February;Niderlandzki;Biuro tłumaczeń;Umowa o dzieło;Korporacja;14;5754;;
2021;February;Czeski;Freelancer;Umowa zlecenie;JDG;16;9600;;
2021;February;Czeski;Biuro tłumaczeń;Umowa zlecenie;MSP;7;4865;;
2021;March;Węgierski;Freelancer;Useme.com;JDG;15;7545;;
2021;March;Węgierski;Biuro tłumaczeń;Useme.com;MSP;8;3296;;
2021;March;Angielski;Freelancer;Umowa o dzieło;JDG;19;14953;;
2021;March;Angielski;Biuro tłumaczeń;Umowa o dzieło;MSP;2;886;;
2021;March;Niemiecki;Freelancer;Useme.com;JDG;1;432;;
2021;March;Niemiecki;Biuro tłumaczeń;Umowa o dzieło;MSP;13;8697;;
2021;March;Francuski;Freelancer;Useme.com;Korporacja;6;4488;;
2021;March;Francuski;Biuro tłumaczeń;Useme.com;MSP;8;4832;;
2021;March;Hiszpański;Freelancer;Umowa zlecenie;JDG;4;2700;;
2021;March;Hiszpański;Biuro tłumaczeń;Umowa o dzieło;MSP;12;4860;;
2021;March;Włoski;Freelancer;Useme.com;MSP;20;9620;;
2021;March;Włoski;Biuro tłumaczeń;Useme.com;MSP;20;11940;;
2021;March;Niderlandzki;Freelancer;Umowa zlecenie;MSP;14;6244;;
2021;March;Niderlandzki;Biuro tłumaczeń;Umowa o dzieło;JDG;8;6328;;
2021;March;Czeski;Freelancer;Umowa zlecenie;JDG;11;8591;;
2021;March;Czeski;Biuro tłumaczeń;Useme.com;MSP;10;6050;;
2021;April;Węgierski;Freelancer;Umowa o dzieło;Korporacja;2;1392;;
2021;April;Węgierski;Biuro tłumaczeń;Umowa o dzieło;MSP;12;7620;;
2021;April;Angielski;Freelancer;Umowa o dzieło;JDG;17;10574;;
2021;April;Angielski;Biuro tłumaczeń;Useme.com;JDG;11;8679;;
2021;April;Niemiecki;Freelancer;Useme.com;MSP;20;9040;;
2021;April;Niemiecki;Biuro tłumaczeń;Useme.com;JDG;16;11792;;
2021;April;Francuski;Freelancer;Umowa zlecenie;JDG;10;5730;;
2021;April;Francuski;Biuro tłumaczeń;Umowa o dzieło;MSP;2;1298;;
2021;April;Hiszpański;Freelancer;Umowa o dzieło;JDG;6;3084;;
2021;April;Hiszpański;Biuro tłumaczeń;Umowa o dzieło;Korporacja;13;5291;;
2021;April;Włoski;Freelancer;Useme.com;Korporacja;8;4760;;
2021;April;Włoski;Biuro tłumaczeń;Umowa o dzieło;JDG;6;2718;;
2021;April;Niderlandzki;Freelancer;Umowa o dzieło;Korporacja;11;6941;;
2021;April;Niderlandzki;Biuro tłumaczeń;Umowa o dzieło;JDG;15;11400;;
2021;April;Czeski;Freelancer;Useme.com;MSP;3;1311;;
2021;April;Czeski;Biuro tłumaczeń;Useme.com;MSP;14;10206;;
2021;May;Węgierski;Freelancer;Useme.com;JDG;16;8336;;
2021;May;Węgierski;Biuro tłumaczeń;Umowa o dzieło;MSP;16;7504;;
2021;May;Angielski;Freelancer;Useme.com;JDG;7;4655;;
2021;May;Angielski;Biuro tłumaczeń;Useme.com;JDG;7;5495;;
2021;May;Niemiecki;Freelancer;Useme.com;JDG;1;665;;
2021;May;Niemiecki;Biuro tłumaczeń;Useme.com;MSP;14;7798;;
2021;May;Francuski;Freelancer;Umowa zlecenie;Korporacja;3;1317;;
2021;May;Francuski;Biuro tłumaczeń;Umowa o dzieło;MSP;17;9469;;
2021;May;Hiszpański;Freelancer;Umowa o dzieło;MSP;8;4832;;
2021;May;Hiszpański;Biuro tłumaczeń;Umowa zlecenie;Korporacja;19;12236;;
2021;May;Włoski;Freelancer;Useme.com;Korporacja;4;3132;;
2021;May;Włoski;Biuro tłumaczeń;Umowa zlecenie;JDG;20;10260;;
2021;May;Niderlandzki;Freelancer;Umowa o dzieło;MSP;12;7116;;
2021;May;Niderlandzki;Biuro tłumaczeń;Useme.com;JDG;6;2640;;
2021;May;Czeski;Freelancer;Useme.com;Korporacja;18;9792;;
2021;May;Czeski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;3;1482;;
2021;June;Węgierski;Freelancer;Umowa o dzieło;MSP;2;1562;;
2021;June;Węgierski;Biuro tłumaczeń;Umowa o dzieło;JDG;4;2080;;
2021;June;Angielski;Freelancer;Useme.com;JDG;11;6094;;
2021;June;Angielski;Biuro tłumaczeń;Useme.com;MSP;9;6165;;
2021;June;Niemiecki;Freelancer;Useme.com;MSP;10;4700;;
2021;June;Niemiecki;Biuro tłumaczeń;Useme.com;Korporacja;7;5243;;
2021;June;Francuski;Freelancer;Umowa o dzieło;MSP;20;11720;;
2021;June;Francuski;Biuro tłumaczeń;Umowa o dzieło;JDG;8;4824;;
2021;June;Hiszpański;Freelancer;Useme.com;Korporacja;19;12863;;
2021;June;Hiszpański;Biuro tłumaczeń;Umowa o dzieło;MSP;6;3762;;
2021;June;Włoski;Freelancer;Useme.com;MSP;7;3500;;
2021;June;Włoski;Biuro tłumaczeń;Umowa o dzieło;MSP;14;10052;;
2021;June;Niderlandzki;Freelancer;Useme.com;JDG;2;1426;;
2021;June;Niderlandzki;Biuro tłumaczeń;Useme.com;Korporacja;3;1566;;
2021;June;Czeski;Freelancer;Umowa o dzieło;JDG;9;4410;;
2021;June;Czeski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;1;508;;
2021;July;Węgierski;Freelancer;Useme.com;MSP;14;8120;;
2021;July;Węgierski;Biuro tłumaczeń;Useme.com;JDG;19;9747;;
2021;July;Angielski;Freelancer;Umowa o dzieło;MSP;19;11628;;
2021;July;Angielski;Biuro tłumaczeń;Umowa o dzieło;Korporacja;13;9646;;
2021;July;Niemiecki;Freelancer;Umowa o dzieło;MSP;4;2816;;
2021;July;Niemiecki;Biuro tłumaczeń;Useme.com;JDG;2;1146;;
2021;July;Francuski;Freelancer;Useme.com;Korporacja;2;1124;;
2021;July;Francuski;Biuro tłumaczeń;Umowa o dzieło;JDG;14;6468;;
2021;July;Hiszpański;Freelancer;Umowa zlecenie;Korporacja;3;1365;;
2021;July;Hiszpański;Biuro tłumaczeń;Useme.com;JDG;13;8190;;
2021;July;Włoski;Freelancer;Umowa zlecenie;MSP;12;6816;;
2021;July;Włoski;Biuro tłumaczeń;Useme.com;JDG;10;6820;;
2021;July;Niderlandzki;Freelancer;Umowa zlecenie;MSP;12;9192;;
2021;July;Niderlandzki;Biuro tłumaczeń;Umowa o dzieło;MSP;8;3536;;
2021;July;Czeski;Freelancer;Umowa o dzieło;Korporacja;6;3120;;
2021;July;Czeski;Biuro tłumaczeń;Umowa zlecenie;MSP;12;7008;;
2021;August;Węgierski;Freelancer;Umowa zlecenie;JDG;6;3024;;
2021;August;Węgierski;Biuro tłumaczeń;Umowa o dzieło;JDG;4;2120;;
2021;August;Angielski;Freelancer;Useme.com;MSP;3;1509;;
2021;August;Angielski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;5;2195;;
2021;August;Niemiecki;Freelancer;Useme.com;Korporacja;4;2892;;
2021;August;Niemiecki;Biuro tłumaczeń;Umowa zlecenie;MSP;1;573;;
2021;August;Francuski;Freelancer;Umowa o dzieło;JDG;3;1830;;
2021;August;Francuski;Biuro tłumaczeń;Umowa o dzieło;JDG;20;10860;;
2021;August;Hiszpański;Freelancer;Umowa o dzieło;JDG;12;5400;;
2021;August;Hiszpański;Biuro tłumaczeń;Useme.com;JDG;17;13583;;
2021;August;Włoski;Freelancer;Umowa o dzieło;JDG;10;7770;;
2021;August;Włoski;Biuro tłumaczeń;Umowa o dzieło;JDG;2;1114;;
2021;August;Niderlandzki;Freelancer;Useme.com;MSP;13;9308;;
2021;August;Niderlandzki;Biuro tłumaczeń;Useme.com;Korporacja;14;10710;;
2021;August;Czeski;Freelancer;Useme.com;JDG;13;8463;;
2021;August;Czeski;Biuro tłumaczeń;Useme.com;MSP;18;9774;;
2021;September;Węgierski;Freelancer;Umowa o dzieło;JDG;20;10960;;
2021;September;Węgierski;Biuro tłumaczeń;Umowa o dzieło;Korporacja;11;6149;;
2021;September;Angielski;Freelancer;Umowa o dzieło;Korporacja;19;14003;;
2021;September;Angielski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;3;2283;;
2021;September;Niemiecki;Freelancer;Umowa o dzieło;JDG;15;8910;;
2021;September;Niemiecki;Biuro tłumaczeń;Umowa zlecenie;JDG;9;6723;;
2021;September;Francuski;Freelancer;Umowa zlecenie;Korporacja;14;8946;;
2021;September;Francuski;Biuro tłumaczeń;Useme.com;JDG;11;4994;;
2021;September;Hiszpański;Freelancer;Useme.com;MSP;10;6740;;
2021;September;Hiszpański;Biuro tłumaczeń;Umowa o dzieło;Korporacja;8;4472;;
2021;September;Włoski;Freelancer;Umowa o dzieło;MSP;2;1292;;
2021;September;Włoski;Biuro tłumaczeń;Useme.com;Korporacja;1;787;;
2021;September;Niderlandzki;Freelancer;Useme.com;Korporacja;15;8700;;
2021;September;Niderlandzki;Biuro tłumaczeń;Umowa zlecenie;MSP;5;3060;;
2021;September;Czeski;Freelancer;Umowa o dzieło;MSP;10;4270;;
2021;September;Czeski;Biuro tłumaczeń;Umowa o dzieło;Korporacja;7;4109;;
2021;October;Węgierski;Freelancer;Umowa o dzieło;Korporacja;8;5192;;
2021;October;Węgierski;Biuro tłumaczeń;Umowa o dzieło;Korporacja;3;1965;;
2021;October;Angielski;Freelancer;Umowa zlecenie;MSP;11;7469;;
2021;October;Angielski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;16;8016;;
2021;October;Niemiecki;Freelancer;Umowa zlecenie;Korporacja;1;687;;
2021;October;Niemiecki;Biuro tłumaczeń;Useme.com;MSP;19;14288;;
2021;October;Francuski;Freelancer;Umowa o dzieło;JDG;9;3861;;
2021;October;Francuski;Biuro tłumaczeń;Umowa o dzieło;JDG;10;4040;;
2021;October;Hiszpański;Freelancer;Umowa o dzieło;JDG;2;1476;;
